iter	Passed	Remaining
0	164	164692
1	166	82853
2	167	55579
3	168	41988
4	169	33797
5	171	28386
6	172	24477
7	174	21672
8	176	19443
9	178	17642
10	179	16146
11	180	14867
12	182	13821
13	183	12925
14	185	12181
15	187	11557
16	189	10952
17	191	10444
18	192	9935
19	193	9472
20	194	9045
21	195	8675
22	196	8366
23	199	8115
24	201	7848
25	202	7589
26	203	7331
27	204	7090
28	205	6883
29	206	6677
30	208	6502
31	209	6343
32	211	6203
33	213	6060
34	214	5916
35	215	5775
36	216	5638
37	217	5507
38	218	5384
39	219	5266
40	221	5169
41	222	5075
42	223	4981
43	225	4902
44	226	4811
45	227	4718
46	228	4627
47	229	4548
48	230	4480
49	231	4400
50	232	4323
51	233	4256
52	235	4202
53	237	4155
54	238	4092
55	238	4028
56	240	3973
57	241	3921
58	242	3869
59	243	3821
60	245	3773
61	246	3728
62	248	3694
63	249	3652
64	251	3613
65	252	3568
66	252	3522
67	253	3473
68	254	3437
69	255	3398
70	256	3360
71	257	3323
72	259	3295
73	261	3269
74	262	3242
75	263	3208
76	264	3174
77	265	3143
78	267	3113
79	268	3083
80	269	3055
81	270	3026
82	271	2996
83	272	2966
84	272	2936
85	274	2917
86	275	2889
87	276	2862
88	277	2838
89	278	2811
90	279	2787
91	280	2765
92	281	2742
93	282	2719
94	283	2696
95	284	2675
96	285	2653
97	286	2632
98	287	2614
99	288	2598
100	289	2577
101	290	2554
102	290	2534
103	291	2513
104	292	2494
105	293	2473
106	294	2455
107	295	2437
108	295	2419
109	296	2400
110	297	2382
111	298	2364
112	305	2395
113	306	2378
114	307	2366
115	309	2356
116	310	2343
117	311	2331
118	313	2319
119	315	2316
120	317	2303
121	317	2288
122	318	2273
123	320	2264
124	322	2258
125	323	2245
126	325	2234
127	326	2221
128	328	2217
129	330	2214
130	332	2207
131	334	2196
132	334	2182
133	337	2179
134	339	2172
135	341	2170
136	343	2165
137	344	2154
138	346	2144
139	347	2136
140	349	2126
141	349	2113
142	351	2104
143	352	2098
144	355	2095
145	356	2087
146	359	2083
147	360	2075
148	361	2065
149	362	2056
150	364	2048
151	366	2042
152	368	2038
153	369	2030
154	370	2021
155	371	2011
156	372	2000
157	374	1993
158	375	1985
159	376	1977
160	377	1968
161	379	1961
162	380	1953
163	382	1949
164	383	1940
165	384	1932
166	385	1925
167	386	1916
168	388	1908
169	389	1900
170	390	1892
171	391	1883
172	392	1875
173	393	1869
174	395	1863
175	396	1856
176	397	1848
177	398	1840
178	399	1832
179	400	1824
180	401	1814
181	402	1807
182	402	1799
183	403	1791
184	404	1783
185	405	1775
186	407	1771
187	408	1765
188	409	1758
189	410	1751
190	411	1744
191	412	1737
192	413	1730
193	414	1723
194	415	1716
195	416	1709
196	417	1701
197	418	1694
198	419	1687
199	420	1680
200	422	1678
201	423	1671
202	423	1664
203	424	1657
204	425	1650
205	426	1644
206	427	1637
207	428	1631
208	429	1624
209	430	1618
210	431	1611
211	431	1604
212	432	1599
213	433	1593
214	434	1588
215	436	1584
216	437	1578
217	438	1572
218	439	1566
219	440	1560
220	440	1554
221	441	1548
222	442	1542
223	443	1536
224	444	1530
225	445	1524
226	446	1518
227	446	1513
228	448	1508
229	449	1504
230	450	1499
231	451	1493
232	451	1487
233	452	1481
