iter	Passed	Remaining
0	1	1926
1	4	2073
2	6	2132
3	9	2253
4	11	2309
5	13	2238
6	15	2248
7	18	2283
8	20	2304
9	23	2356
10	24	2232
11	25	2095
12	26	2049
13	28	2036
14	30	2027
15	32	2028
16	35	2050
17	37	2045
18	38	2012
19	40	1988
20	42	1958
21	43	1928
22	44	1901
23	45	1841
24	46	1827
25	48	1810
26	49	1793
27	51	1773
28	52	1750
29	53	1726
30	54	1702
31	55	1682
32	56	1665
33	57	1647
34	59	1633
35	60	1619
36	62	1620
37	63	1616
38	65	1602
39	66	1593
40	67	1580
41	68	1567
42	69	1554
43	70	1540
44	71	1524
45	72	1510
46	73	1495
47	74	1480
48	75	1464
49	76	1453
50	77	1442
51	78	1431
52	79	1419
53	80	1405
54	81	1394
55	81	1381
56	82	1367
57	83	1356
58	84	1342
59	84	1330
60	85	1318
61	86	1304
62	86	1291
63	87	1278
64	88	1266
65	88	1254
66	89	1241
67	89	1230
68	90	1218
69	91	1209
70	91	1202
71	92	1195
72	93	1184
73	93	1174
74	94	1163
75	94	1153
76	95	1143
77	95	1132
78	96	1123
79	96	1113
80	97	1103
81	97	1095
82	98	1083
83	98	1074
84	99	1066
85	99	1058
86	100	1050
87	100	1041
88	101	1034
89	101	1026
90	101	1018
91	102	1011
92	103	1005
93	103	998
94	104	990
95	104	984
96	105	977
97	105	971
98	106	965
99	106	961
100	107	956
101	108	951
102	108	945
103	109	940
104	109	934
105	110	928
106	110	923
107	111	917
108	111	912
109	112	907
110	112	902
111	113	896
112	113	891
113	114	886
114	114	882
115	115	877
116	115	871
117	115	866
118	116	862
119	116	857
120	117	853
121	117	847
122	118	843
123	118	839
124	119	835
125	119	831
126	120	827
127	120	823
128	121	820
129	122	817
130	122	814
131	123	811
132	123	807
133	124	803
134	124	799
135	125	796
136	125	792
137	126	789
138	126	786
139	127	782
140	127	779
141	128	774
142	128	771
143	129	768
144	129	765
145	130	762
146	130	759
147	131	756
148	131	753
149	132	749
150	132	746
151	133	743
152	133	740
153	134	737
154	134	735
155	135	733
156	136	730
157	136	728
158	137	727
159	138	725
160	138	722
161	139	719
162	139	716
163	140	714
164	140	711
165	141	709
166	141	706
167	142	704
168	142	701
169	143	699
170	143	696
171	144	694
172	144	691
173	145	689
174	145	686
175	146	684
176	146	682
177	147	679
178	147	677
179	148	675
180	148	673
181	149	670
182	149	668
183	150	666
184	150	664
185	151	662
186	151	660
187	152	659
188	153	657
189	153	655
190	154	653
191	154	651
192	155	649
193	155	647
194	156	645
195	156	643
196	157	641
197	157	639
198	158	637
199	158	635
200	159	633
201	159	632
202	160	630
203	160	628
204	161	626
205	162	625
206	162	623
